subjectID	runtrial	onsettime	ImageLeft	ImageRight	StimNumLeft	StimNumRight	Response	Outcome	RT
subject_020	1	5.144531e-01	Beyonce_Knowles.jpg	Gwyneth_Paltrow.jpg	40	32	i	0	1.317092e+03
subject_020	2	4.014557e+00	Russell_Crowe.jpg	Ashton_Kutcher.jpg	28	15	i	0	1.456903e+03
subject_020	3	7.514659e+00	Bradley_Cooper.jpg	Barak_Obama.jpg	22	14	u	0	1.252759e+03
subject_020	4	1.101476e+01	Bradd_Pitt.jpg	Drew_Barrymore.jpg	9	37	u	0	1.224609e+03
subject_020	5	1.451487e+01	George_Clooney.jpg	Halle_Berry.jpg	31	33	i	0	1.532513e+03
subject_020	6	1.801497e+01	Kim_Kardashian.jpg	Leonardo_Dicaprio.jpg	11	6	i	0	1.256286e+03
subject_020	7	2.151508e+01	Hugh_Laurie.jpg	Oprah_Winfrey.jpg	24	36	u	0	1.348123e+03
subject_020	8	2.501517e+01	Jim_Carrey.jpg	Shakira.jpg	7	34	i	0	2.167997e+03
subject_020	9	2.851528e+01	Nicole_Kidman.jpg	Bruce_Willis.jpg	25	1	i	0	1.259817e+03
subject_020	10	3.201538e+01	Tom_Cruise.jpg	Cameron_Diaz.jpg	10	23	i	0	1.215668e+03
subject_020	11	3.551549e+01	Natalie_Portman.jpg	Helen_Hunt.jpg	27	17	u	0	1.251508e+03
subject_020	12	3.901559e+01	Emma_Stone.jpg	Julia_Roberts.jpg	26	4	i	0	1.855379e+03
subject_020	13	4.251569e+01	Shih_Labeouf.jpg	Rihanna.jpg	30	20	u	0	2.275183e+03
subject_020	14	4.601579e+01	Will_Smith.jpg	Justin_Timberlake.jpg	12	35	u	0	1.271047e+03
subject_020	15	4.951590e+01	Ben_Stiller.jpg	Nicolas_Cage.jpg	39	5	u	0	1.266888e+03
subject_020	16	5.301600e+01	Justin_Bieber.jpg	Charlie_Sheen.jpg	18	29	i	0	1.078768e+03
subject_020	17	5.651610e+01	Johnny_Depp.jpg	Ellen_Degeneres.jpg	38	3	i	0	2.178565e+03
subject_020	18	6.001624e+01	Tom_Hanks.jpg	Keanu_Reeves.jpg	8	2	u	0	1.230418e+03
subject_020	19	6.351631e+01	Paul_Walker.jpg	Miley_Cyrus.jpg	19	21	x	999	999000
subject_020	20	6.701641e+01	Arnold_schwarzenegger.jpg	Adam_Sandler.jpg	16	13	i	0	1.350154e+03
subject_020	21	7.051657e+01	Gwyneth_Paltrow.jpg	Russell_Crowe.jpg	32	28	u	0	1.177903e+03
subject_020	22	7.401666e+01	Ashton_Kutcher.jpg	Charlie_Sheen.jpg	15	29	u	0	1.341767e+03
subject_020	23	7.751674e+01	Cameron_Diaz.jpg	Johnny_Depp.jpg	23	38	u	0	1.313659e+03
subject_020	24	8.101683e+01	Hugh_Laurie.jpg	Kim_Kardashian.jpg	24	11	u	0	1.085522e+03
subject_020	25	8.451693e+01	Shih_Labeouf.jpg	Beyonce_Knowles.jpg	30	40	u	0	1.121369e+03
subject_020	26	8.801703e+01	Bradd_Pitt.jpg	Halle_Berry.jpg	9	33	i	0	1.397179e+03
subject_020	27	9.151714e+01	Nicolas_Cage.jpg	Arnold_schwarzenegger.jpg	5	16	i	0	1.473036e+03
subject_020	28	9.501727e+01	Oprah_Winfrey.jpg	Natalie_Portman.jpg	36	27	i	0	1.220888e+03
subject_020	29	9.851735e+01	Rihanna.jpg	Tom_Cruise.jpg	20	10	i	0	1.392742e+03
subject_020	30	1.020174e+02	Justin_Bieber.jpg	Bradley_Cooper.jpg	18	22	i	0	1.180556e+03
subject_020	31	1.055176e+02	George_Clooney.jpg	Nicole_Kidman.jpg	31	25	u	0	1.024378e+03
subject_020	32	1.090177e+02	Will_Smith.jpg	Jim_Carrey.jpg	12	7	u	0	1.332246e+03
