subjectID	runtrial	onsettime	ImageLeft	ImageRight	StimNumLeft	StimNumRight	Response	Outcome	RT
subject_079	1	5.144237e-01	Asi_Cohen.jpg	Angelina_Jolie.jpg	40	32	i	0	6.110788e+02
subject_079	2	4.014509e+00	Tom_Cruise.jpg	Ashton_Kutcher.jpg	28	15	i	0	1.150894e+03
subject_079	3	7.514595e+00	Beyonce_Knowles.jpg	Jennifer_Aniston.jpg	22	14	i	0	1.026731e+03
subject_079	4	1.101468e+01	Adam_Sandler.jpg	Jim_Carrey.jpg	9	37	i	0	9.825632e+02
subject_079	5	1.451477e+01	Oprah_Winfrey.jpg	Hillary_Cllinton.jpg	31	33	u	0	1.282386e+03
subject_079	6	1.801485e+01	Bill_Clinton.jpg	Charlie_Sheen.jpg	11	6	i	0	8.942316e+02
subject_079	7	2.151494e+01	Madonna.jpg	Harel_Skaat.jpg	24	36	i	0	1.090062e+03
subject_079	8	2.501502e+01	Bradd_Pitt.jpg	George_Clooney.jpg	7	34	u	0	1.197896e+03
subject_079	9	2.851510e+01	Harrison_Ford.jpg	Will_Smith.jpg	25	1	i	0	1.097770e+03
subject_079	10	3.201522e+01	Ellen_Degeneres.jpg	Johnny_Depp.jpg	10	23	i	0	1.133564e+03
subject_079	11	3.551527e+01	Nicolas_Cage.jpg	Pierce_Brosnan.jpg	27	17	i	0	1.065448e+03
subject_079	12	3.901536e+01	James_Franco.jpg	Barak_Obama.jpg	26	4	i	0	9.652707e+02
subject_079	13	4.251545e+01	Rihanna.jpg	Justin_Bieber.jpg	30	20	u	0	9.851029e+02
subject_079	14	4.601553e+01	Ben_Stiller.jpg	Arik_Einstein.jpg	12	35	u	0	1.132924e+03
subject_079	15	4.951565e+01	Oz_Zehavi.jpg	Arnold_schwarzenegger.jpg	39	5	i	0	1.056739e+03
subject_079	16	5.301571e+01	Keanu_Reeves.jpg	Yael_Bar-Zohar.jpg	18	29	i	0	8.365934e+02
subject_079	17	5.651587e+01	David_Schwimmer.jpg	Bruce_Willis.jpg	38	3	u	0	1.344351e+03
subject_079	18	6.001591e+01	Russell_Crowe.jpg	Courteney_Cox.jpg	8	2	i	0	8.842375e+02
subject_079	19	6.351596e+01	Lior_Ashkenazi.jpg	Hugh_Laurie.jpg	19	21	i	0	1.352083e+03
subject_079	20	6.701608e+01	Julia_Roberts.jpg	Leonardo_Dicaprio.jpg	16	13	u	0	1.011903e+03
subject_079	21	7.051614e+01	Angelina_Jolie.jpg	Tom_Cruise.jpg	32	28	u	0	1.655750e+03
subject_079	22	7.401625e+01	Ashton_Kutcher.jpg	Yael_Bar-Zohar.jpg	15	29	i	0	7.715686e+02
subject_079	23	7.751631e+01	Johnny_Depp.jpg	David_Schwimmer.jpg	23	38	i	0	1.023412e+03
subject_079	24	8.101642e+01	Madonna.jpg	Bill_Clinton.jpg	24	11	u	0	8.352386e+02
subject_079	25	8.451648e+01	Rihanna.jpg	Asi_Cohen.jpg	30	40	u	0	9.110856e+02
subject_079	26	8.801660e+01	Adam_Sandler.jpg	Hillary_Cllinton.jpg	9	33	u	0	9.948985e+02
subject_079	27	9.151665e+01	Arnold_schwarzenegger.jpg	Julia_Roberts.jpg	5	16	u	0	1.062761e+03
subject_079	28	9.501674e+01	Harel_Skaat.jpg	Nicolas_Cage.jpg	36	27	i	0	1.170578e+03
subject_079	29	9.851685e+01	Justin_Bieber.jpg	Ellen_Degeneres.jpg	20	10	i	0	1.790383e+03
subject_079	30	1.020170e+02	Keanu_Reeves.jpg	Beyonce_Knowles.jpg	18	22	i	0	1.074208e+03
subject_079	31	1.055170e+02	Oprah_Winfrey.jpg	Harrison_Ford.jpg	31	25	i	0	1.214072e+03
subject_079	32	1.090171e+02	Ben_Stiller.jpg	Bradd_Pitt.jpg	12	7	u	0	1.105876e+03
subject_079	33	1.125172e+02	Barak_Obama.jpg	Charlie_Sheen.jpg	4	6	i	0	1.013748e+03
subject_079	34	1.160173e+02	Arik_Einstein.jpg	Jim_Carrey.jpg	35	37	i	0	8.975897e+02
subject_079	35	1.195173e+02	Jennifer_Aniston.jpg	Pierce_Brosnan.jpg	14	17	u	0	1.093439e+03
