subjectID	runtrial	onsettime	ImageLeft	ImageRight	StimNumLeft	StimNumRight	Response	Outcome	RT
subject_077	1	5.144605e-01	shimon_peres.jpg	rivlin_rubi.jpg	14	25	u	0	5.243180e+02
subject_077	2	4.014545e+00	barak_ehud.jpg	liberman_avigdor.jpg	3	17	u	0	4.321404e+02
subject_077	3	7.514630e+00	regev_miri.jpg	yitzhak_rabin.jpg	10	1	u	0	4.119673e+02
subject_077	4	1.101474e+01	michaeli_meirav.jpg	benet_naftali.jpg	22	8	u	0	4.477762e+02
subject_077	5	1.451480e+01	Smotrich_Bezalel.jpg	beneliezer_binyamin.jpg	20	13	u	0	4.996409e+02
subject_077	6	1.801488e+01	netanyahu.jpg	mofaz_shaul.jpg	6	11	u	0	4.554724e+02
subject_077	7	2.151497e+01	deri_arye.jpg	yacimovich_shelly.jpg	26	15	i	0	4.272889e+02
subject_077	8	2.501505e+01	zandberg_tamar.jpg	yaalon_moshe.jpg	27	23	u	0	4.311323e+02
subject_077	9	2.851514e+01	shaked_ayelet.jpg	galon_zahava.jpg	30	2	i	0	5.069776e+02
subject_077	10	3.201522e+01	livnee_zipi.jpg	tibi_ahmed.jpg	7	16	u	0	5.508063e+02
subject_077	11	3.551531e+01	cahlon_moshe.jpg	herzog_yitzhak.jpg	5	19	i	0	6.506627e+02
subject_077	12	3.901539e+01	peretz_amir.jpg	lapid_yair.jpg	18	9	i	0	7.344585e+02
subject_077	13	4.251548e+01	zuabi_hanin.jpg	katz_yisrael.jpg	12	28	u	0	5.062968e+02
subject_077	14	4.601556e+01	hazan_oren.jpg	olmert_ehud.jpg	21	29	i	0	6.301198e+02
subject_077	15	4.951565e+01	steinitz_yuval.jpg	sharon_ariel.jpg	24	4	i	0	6.819606e+02
subject_077	16	5.301573e+01	peretz_amir.jpg	benet_naftali.jpg	18	8	i	0	7.978345e+02
subject_077	17	5.651582e+01	mofaz_shaul.jpg	livnee_zipi.jpg	11	7	i	0	5.136223e+02
subject_077	18	6.001590e+01	lapid_yair.jpg	steinitz_yuval.jpg	9	24	i	0	5.094648e+02
subject_077	19	6.351599e+01	sharon_ariel.jpg	tibi_ahmed.jpg	4	16	u	0	5.373078e+02
